edition,match_number,match_id,stage,team_id,team,player_id,player,status,start_minute,end_minute,unavailable_minutes,evidence_tier,evidence_note,source_url,source_archive
2014,8,300186513,group,43954,Italy,359223,Mattia De Sciglio,injured_full_match,0,90,90,3,Right-leg muscle injury in training ruled him out of Italy's opening match against England,https://www.theguardian.com/football/2014/jun/12/italy-england-pitch-manaus,data/raw/manual/availability-evidence.csv
2014,20,300186478,group,43976,Australia,197411,Mark MILLIGAN,injured_full_match,0,90,90,3,Hamstring strain ruled him out of Australia's match against the Netherlands,https://www.fourfourtwo.com/news/milligan-out-australia-date-dutch,data/raw/manual/availability-evidence.csv
2014,23,300186486,group,43930,Uruguay,239433,Diego LUGANO,injured_full_match,0,90,90,3,Left-knee injury ruled him out against England,https://www.theguardian.com/football/2014/jun/18/uruguay-captain-diego-lugano-ruled-out-england-knee-injury-world-cup,data/raw/manual/availability-evidence.csv
2014,39,300186465,group,43930,Uruguay,239433,Diego LUGANO,injured_full_match,0,90,90,4,Continuing left-knee pain ruled him out against Italy,https://www.standard.co.uk/sport/football/italy-v-uruguay-team-news-ciro-immobile-starts-as-cesare-prandelli-makes-four-changes-9559927.html,data/raw/manual/availability-evidence.csv
2014,47,300186480,group,43935,Belgium,216004,Vincent KOMPANY,injured_full_match,0,90,90,3,Groin injury ruled him out against Korea Republic,https://www.theguardian.com/football/2014/jun/26/belgium-vincent-kompany-south-korea-world-cup,data/raw/manual/availability-evidence.csv
2014,50,300186491,round_of_16,43930,Uruguay,239433,Diego LUGANO,injured_full_match,0,90,90,4,The same knee injury kept him out of the round of 16,https://colombia.as.com/colombia/2020/05/08/futbol/1588904192_788710.html,data/raw/manual/availability-evidence.csv
2014,57,300186461,quarter_final,43924,Brazil,314197,NEYMAR,injured_interval,87,90,3,2,Fractured vertebra ended his tournament after the quarter-final injury exit,https://inside.fifa.com/tournaments/mens/worldcup/2014brazil/news/worldcupathome-brazil-colombia-2014-neymar-3072768,data/raw/manual/availability-evidence.csv
2014,60,300186504,quarter_final,43922,Argentina,266800,Angel DI MARIA,injured_interval,32,90,58,2,Thigh muscle tear caused the quarter-final exit and subsequent semi-final absence,https://www.fifa.com/es/articles/di-maria-mundial-goles-participaciones-mejores-partidos,data/raw/manual/availability-evidence.csv
2014,61,300186474,semi_final,43924,Brazil,314197,NEYMAR,injured_full_match,0,90,90,2,Competition-ending back injury ruled him out of the semi-final,https://inside.fifa.com/tournaments/mens/worldcup/2014brazil/news/worldcupathome-brazil-colombia-2014-neymar-3072768,data/raw/manual/availability-evidence.csv
2014,62,300186490,semi_final,43922,Argentina,266800,Angel DI MARIA,injured_full_match,0,90,90,2,Thigh muscle tear ruled him out of the semi-final,https://www.fifa.com/es/articles/di-maria-mundial-goles-participaciones-mejores-partidos,data/raw/manual/availability-evidence.csv
